0x4E00,0x9FA5
0x0021,0X007E
0X00B0,0x0241
0X0250,0x02FF
0X03D2,0X0486
0X0488,0X04F9
0X0500,0X0509
0X0531,0X0556
0X055B,0X055F
0X0561,0X0587
0X0589,0X0589
0X0591,0X05B8
0X05BB,0X05C7
0X05D1,0X05EA
0X05F0,0X05F4
0X060B,0X0615
0X0621,0X063A
0X0641,0X065E
0X0661,0X06DF
0X06F0,0X074A
0X074D,0X076D
0X0780,0X07B1
0X0901,0X0939
0X093C,0X094D
0X0958,0X0970
0X0985,0X098C
0X0993,0X09A8
0X09AA,0X09B0
0X09BC,0X09C4
0X09CB,0X09CE
0X09DF,0X09E3
0X09E6,0X09FA
0x0A01,0X0A03
0x0A05,0x0A0A
0x0A0F,0x0A10
0x0A13,0x0A28
0x0A2A,0x0A30
0X0A66,0x0A74
0x0AE6,0X0AEF
0X0B01,0X0B03
0X0B05,0X0B0C
0X0B13,0X0B28
0X0B2A,0X0B30
0X0B35,0X0B39
0X0B3C,0X0B43
0X0B66,0X0B71
0X0B82,0X0B83
0X0B85,0X0B8A
0X0B8E,0X0B90
0X0B92,0X0B95
0X0B99,0X0B9A
0X0B9E,0X0B9F
0X0BB0,0X0BB9
0X0BBE,0X0BC3
0X0BE7,0X0BFA
0X0C01,0X0C03
0X0C05,0X0C0C
0X0C0E,0X0C10
0X0C12,0X0C28
0X0C2A,0X0C33
0X0C35,0X0C39
0X0C3E,0X0C44
0X0C66,0X0C6F
0X0C85,0X0C8C
0X0C92,0X0CA8
0X0CAA,0X0CB3
0X0CB5,0X0CB8
0X0CBC,0X0CC4
0X0CE6,0X0CEF
0X10A0,0X10C5
0X10D0,0X10DC
0X13A0,0X13F4
0X1401,0X14FF
0X1500,0X15FF
0X1600,0X1676
0X1680,0X169C
0X16A0,0X16F0
0X1780,0X17DD
0X1800,0X1809
0X1810,0X1819
0X1820,0X1877
0X1880,0X18A9
0X1950,0X196D
0X1970,0X1974
0X1980,0X19A9
0X19B0,0X19C9
0X1D00,0X1DC3
0X1E00,0X1E9B
0X1EA0,0X1EF9
0X1F00,0X1F15
0x3001,0x303F
0x3041,0x3096
0x3099,0x30FF
0x3105,0x312C
0x3131,0x318E
0x3190,0x31B7
0x31C0,0x31CF
0x31F0,0x31FF
0x3220,0x3229
0x3280,0x3289
0X3400,0x4DB5
0X4E00,0X9FB0
0XA000,0XA48C
0XAC00,0XD7A3
0XF900,0XFA2D
0XFA30,0XFA6A
0xFE10,0xFE19
0xFE20,0xFE23
0xFE30,0xFE52
0xFE54,0xFE66
0xFE68,0xFE6B
0xFE80,0xFEFC
0xFF01,0xFFBE
0xFFC2,0XFFC7
0XFFCA,0XFFCF
0xFFD2,0XFFD7
0XFFDA,0XFFDC
0XFFE0,0XFFE6
0XFFE8,0XFFEE
0X25A0,0X25FF
0X2600,0x26FF
0X27C0,0X27EF
0x2980,0x29FF 







