ActivityName=
{
--日常活动
  name00001= "蟠桃盛宴",
  desc00001= "加入帮派,便可每天19：00返回帮派领地品尝蟠桃,教训偷蟠桃的灵猴,获得大量经验、灵气。",
  
  name00002= "仙灵封印",
  desc00002= "仙灵封印到时间后将会自动开启,将仙灵重新封印将获得大量经验，金币，和帮贡。",
  
  name00003= "天元之战",
  desc00003= "相约周日,仙界争雄,只要参加便可获得大量经验和金币,第一名帮派帮主更可获得成为天元之主的殊荣。\n<点击了解天元之战/@@showSysWin,13>",
  
  name00004= "阵营试练",
  desc00004= "上古禁地,阵营之战,活动开启后,点击活动图标便可直接进入\阵营试练战场,参加阵营试练,可获得大量经验和金币。",
  
  name00005= "欢乐护送",
  desc00005= "九天仙女,谪落凡尘,每天15:30-16:30护送仙女有1.5倍加成的奖励（提交护送任务才能获取到加成的奖励）。",
  
  name00006= "灵泉仙浴",
  desc00006= "在活动场景内,每15秒即可获得经验和灵气；与其他玩家互动打泡泡、戏水可获得更多的经验和灵气奖励！",
  
  name00007= "八卦地宫",
  desc00007= "伏羲遗留八卦地宫,珍宝无数。<(c0xFF00FF00)完成目标可获得大量奖励>。更有地宫宝箱、地宫BOSS等你来抢,每天两场,场场精彩,切不可错过！\n<(c0xffff0000)开服第三天首次开启>",
  
  name00008= "八卦地宫",
  desc00008= "伏羲遗留八卦地宫,珍宝无数。<(c0xFF00FF00)完成目标可获得大量奖励>。更有地宫宝箱、地宫BOSS等你来抢,每天两场,场场精彩,切不可错过！\n<(c0xffff0000)开服第三天首次开启>",
  
  name00009= "自由竞技",
  desc00009= "参加胜利后获得积分,累积积分到周四晚上20:40活动结束后,根据积分排名领取荣誉奖励。<荣誉可兑换珍贵物品/@@showSysWin,18,2>\n<(c0xffff0000)开服第二周后,每周二,四开启>",
  
  name00010= "仙道争霸",
  desc00010= "至尊仙王,谁与争锋！最强16人热血争霸,名次越前,获得的最终奖励越好！\n<(c0xffff0000)开服第二周后,每周六开启>",
  
  name00011= "仙道争霸",
  desc00011= "",
  
  name00012= "3v3跨服海选",
  desc00012= "",
  
  name00013= "3v3跨服小组赛",
  desc00013= "",
  
  name00014= "地榜争霸赛",
  desc00014= "",
  
  name00015= "天榜争霸赛",
  desc00015= "",
  
  a1= "19:00-19:20",
  a2= "周一至周六19:30-20:00",
  a3= "周日19:30-20:00",
  a4= "周一三五20:10-20:40",
  a5= "15:30-16:30",
  a6= "12:30-13:00",
  a7= "开服两天后13:10-14:10",
  a8= "开服两天后20:50-21:50",
  a9= "2012年12月20日00:00 - 2013年1月3日23:59",
  a10= "2012年12月21日00:00 - 2013年1月3日23:59",
  a11= "周二周四晚上20:10-20:40",
  a12= "周六晚上20:10-20:40",
  a13= "2013年2月4日00:00 - 2013年2月18日23:59",
  a14= "2013年2月9日23:59",  
  a15= "2013年2月9日00:00 - 2013年2月18日23:59",    
  a16= "2013年2月9日00:00 - 2013年2月12日23:59",  
  a17= "2013年2月23日00:00 - 2013年2月26日23:59", 
  a18= "2013年3月18日00:00 - 2013年3月20日23:59",  
  a19= "2013年4月1日00:00 - 2013年4月5日23:59",  
  a20= "2013年5月29日00:00 - 2013年6月4日23:59",  
  a21= "2013年6月9日08:00 - 2013年6月15日23:59",  
  a22= "2013年6月10日00:00 - 2013年6月16日23:59",  
  a23= "2013年6月24日20:00 - 2013年6月26日21:35",  
  a24= "2013年7月10日00:00 - 2013年7月17日23:59",  
  a25= "2013年7月10日00:00 - 2013年7月14日23:59", 
  a26= "2013年7月23日00:00 - 2013年7月28日23:59", 
  a27= "2013年8月10日08:00 - 2013年8月19日23:59", 
  a28= "2013年8月12日00:00 - 2013年8月18日23:59", 
  a29= "2013年8月28日00:00 - 2013年9月3日23:59", 
  a30= "2013年9月10日00:00 - 2013年9月13日23:59", 
  a31= "2013年9月14日08:00 - 2013年9月20日23:59", 
  a32= "2013年9月16日00:00 - 2013年9月22日23:59", 
  a33= "2013年10月1日00:00 - 2013年10月7日23:59", 
  a34= "2013年10月13日00:00 - 2013年10月17日23:59",
  a35= "2013年10月14日00:00 - 2013年10月20日23:59",
  a36= "2013年10月25日08:00 - 2013年11月03日23:59",
  a37= "2013年11月9日活动开启,至2013年11月18日23:59结束",
  a38= "2013年11月11日00:00 - 2013年11月17日23:59",
  a39= "2013年11月24日活动开启,至2013年12月1日23:59结束",
  a40= "2013年11月25日01:00 - 2013年12月1日23:59",
  a41= "2013年12月10日活动开启,至2013年12月16日23:59结束", 
  a42= "2013年12月24日活动开启,至2014年1月3日23:59结束",  
  a43= "2014年1月8日活动开启,至2014年1月9日23:59结束",    
  a44= "2014年1月11日活动开启,至2014年1月17日23:59结束",    
  
--副本
  name00101= "历练副本",
  desc00101= "历练副本乃修仙者历练之所,击杀里面的怪物可获得历练值,而历练值可兑换极品套装和套装升级材料。",
  
  name00102= "赏金副本",
  desc00102= "修仙者非不爱财,取之有道。赏金副本连斩越多,获得金币越多；击败财神,还可以接取满天的金钱获得大量金币。",
  
  name00103= "诛仙阵",
  desc00103= "诛仙阵乃考验必杀技之阵,海量经验和珍贵宝石无数,怒气一满,释放必杀技,这些都属于你。",

  name00104= "深海之恋",
  desc00104= "解救被困于深海的紫霞仙子后,在同心树下与同伴打坐双修可获得大量经验和灵气！",
 
  name00105= "心魔幻境",
  desc00105= "心魔幻境共有19层,每层的小怪和BOSS都掉落升级40级防御套装材料。",
  
  name00106= "魔界入口",
  desc00106= "魔界入口封印被打开,魔族源源不绝冲向凡间,击杀魔族可获得海量经验。",
  
  name00107= "宠物岛",
  desc00107= "宠物岛乃是天元城为了提升修仙同道的实力而开启,修仙者皆可进入宠物岛捕捉宠物。",
  
  name00108= "幻天秘境",
  desc00108= "幻天秘境乃是上古仙人洞府,被魔族霸占,若能除去它们,便可获得珍贵的翅膀道具和坐骑道具。",
  
  name00109= "玄天封印",
  desc00109= "上古炎魔重生,玄天封印被破,拯救昔日故人,获得上古封印的材料法宝晶石,可提升法宝。",
  
  name00110= "天魔塔",
  desc00110= "上古仙人以大法力封印域外天魔,如今封印不稳,速去诛除天魔,获得40级升到60级装备升级材料。",
  
  name00111= "炼狱幻界",
  desc00111= "幻界无常，炼狱熔魂,挑战此副本可获得60级升到70级装备升级材料。",
  
  name00155= "仙境驱魔",
  desc00155= "仙子谪凡,魔物侵袭,挑战此副本可获得80级装备升级材料。",
--------------------------------------------------------------------------------------------------------------------世界BOSS的描述
  name00201= "世界boss<b>·</b>深渊领主",
  desc00201= "愚蠢的人类，别动我的女人！否则，你们将付出沉重的代价！",
  
  name00202= "世界boss<b>·</b>蝎王",
  desc00202= "杀光阻拦我前进的所有人，最后满身是血的来到你面前，那时，我只求一死，被你杀死",
  
  name00203= "世界boss<b>·</b>堕落黑龙",
  desc00203= "无耻的人类，卑微的存在，来看看是你们的脸皮厚，还是我的盔甲更厚！",
  
  name00204= "精英boss<b>·</b>雪妖",
  desc00204= "要是被它的外表所欺骗，那可是要吃大苦头的！",
  
   name00205= "精英boss<b>·</b>魔鲛人",
   desc00205= "追求对猎物一击即杀的快感，被其盯上的目标无一幸免！", 

   name00206= "精英boss<b>·</b>万毒蛛",
   desc00206= "喜欢藏在风沙之下，待对手放松之际，便是它出动之时！", 

   name00207= "精英boss<b>·</b>岩石巨人",
   desc00207= "憨厚外表下隐藏着一颗冷酷的心，喜欢把敌人撕成碎片！", 

   name00208= "精英boss<b>·</b>龙鹰",
   desc00208= "身具真龙血脉，因魔气侵蚀而变得通体暗红。", 
   
   desc00209= "对BOSS造成伤害<font color='#ffff00'>排名前$c1$</font>，且，<font color='#ffff00'>伤害值</font>达到<font color='#ffff00'>$c2$点</font>玩家获得<font color='#ffff00'>排名奖励</font>，<font color='#ffff00'>$c3$名以后</font>的玩家获得<font color='#ffff00'>参与奖励</font>",
