Plot = 
{
	t00000 = "$mainActor$",
	t00001 = "修仙者<(c0xFF00FF00)$mainActor$>，谢谢你救了我的孩儿。",
	t00002 = "踏云狐一族守护仙山，贡献良多，如今有难，本应相帮。",
	t00003 = "<(c0xFF00FF00)$mainActor$>，我看你潜质不错，有意将我的孩儿相托于你，一来还君恩，二来历练历练他，只是不知你是否愿意接受他？",
	t00004 = "凡人得踏云狐相随，修仙少了很多坎坷，我承诺，今后待其如手足。",
	t00005 = "吾儿，你就随修仙者<(c0xFF00FF00)$mainActor$>去吧！",
	t00006 = "<(c0xFF00FF00)$mainActor$>，你于我妖族有恩，如今你修为低，本王送你一只踏云狐代步，望能爱惜呵护。",
	t00007 = "哈哈哈，慕容玉仙，枉我对你一往情深你却不屑一顾，如今还不是落在我手里？不久后我让你看看，什么才是真正的力量！",
	t00008 = "万剑愁，你与炎魔合体，释放上古魔族，你必定万劫不复！",
	t00009 = "慕容姑娘，我来救你！",
	t00010 = "哼，<(c0xFF00FF00)$mainActor$>，你还敢追来，既然你求死，我就满足你的要求，将你化成灰烬，哈哈哈！",
	t00011 = "一道凌厉剑芒冲天而起，将炎魔万剑愁斩杀化成虚无，而此时在你的附近传来一个慵懒的声音......",
	t00012 = "萱儿",
	t00013 = "一梦千年，沧海桑田。咦，轩辕之息？<(c0xFF00FF00)萱儿>好喜欢^_^！",
	t00014 = "你……你是谁？",
	t00015 = "我呀，是轩辕剑的剑灵，一直沉睡在你佩戴的轩辕血玉之中，刚被上古魔族的气息惊醒，<(c0xFF00FF00)$mainActor$>，你就叫我萱儿好了。",
	t00016 = "封印千年，圣族终于复苏，<(c0xFF00FF00)蚩尤圣君>将于九黎野重返凡间，可怜的凡人们，你们的末日到了，受死吧！",
	t00017 = "我是<(c0xFF00FF00)萱儿>呀！——不好，竟让炎魔开启封印释放出上古魔族！<(c0xFF00FF00)$mainActor$>，使用<(c0xFF00FF00)必杀技>释放我的魂力诛杀魔族！",
	t00018 = "好浓郁的混沌魔气，这是……蚩尤之息？！",
	t00019 = "轩辕剑灵！！！——哈哈哈，你以为你能阻止得了我重返凡间吗？",
	t00020 = "蚩尤，无论是上古，还是现在，老娘……咳咳，本姑娘都能斩杀你！",
	t00021 = "哼，多说无益，如今封魔殿里我的子民已全部复苏，看你如何平息他们的怒火！",
	t00022 = "可恶，魂魄残缺，魔元不足，竟不是<(c0xFF00FF00)$mainActor$>的对手！",
	t00023 = "蚩尤，受死吧！",
	t00024 = "哼，轩辕剑灵你先别得意，本魔君会阻止你重铸，我若得魂身重聚，便是你魂飞魄散之时，那时，神州也会覆灭！哈哈哈……",
	t00025 = "我如今没有轩辕剑体寄托，难以发挥出力量，阻止不了蚩尤残魂逃跑，之后他必定会阻止轩辕剑重铸，<(c0xFF00FF00)$mainActor$>，我们须得赶紧返回天元城寻找芷云。",
	t00026 = "姥姥，求求你放过我跟采臣好吗？",
	t00027 = "赤霞，你看到了没？你真是没用，自己守着的女人居然被这么一个迂腐的书生给拐了，哈哈哈，这比我亲手杀了你还解恨！",
	t00028 = "我感觉到了我的轩辕剑气息，在那个小倩身上。",
	t00029 = "哼，想打轩辕剑体的主意？我要将它献给复苏的蚩尤大人，谁想要的都得死！",
	t00030 = "姥魔，你给我站住！！！",
	t00031 = "此轩辕剑本是你们之物，如今算是物归原主，拿去吧，重铸轩辕剑，让九州早日脱离魔劫。",
	t00032 = "轩辕剑离体，小倩的封印解除，会恢复之前的记忆，赤霞，那时你该如何面对？",
	t00033 = "两个人的痛苦为何要你一个人承担，赤霞，我想起来了，我想起以前的一切了！",
	t00034 = "曾经的一切，就随风去吧，此间事已了，就此别过！",
	t00035 = "赤霞——",
	t00036 = "问世间情是何物，反正跟我们无关，<(c0xFF00FF00)$mainActor$>，我们也走吧。",
	t00037 = "住手！！！我愿意交出万年寒魄，求求你别伤害云霄。",
	t00038 = "冰儿，交出寒魄你会死的！快回去，有我在，他们伤害不了你！",
	t00039 = "云霄？！你就是失踪的云霄？！你师父张天师甚是挂念你……",
