  --任务相关文字
 Quest = 
  {
qtMain = "主线",
qtSub = "支线",
qtFuben = "副本",
qtDay = "日常",
qtGuild = "帮派",
qtRoutine = "日常任务",
qtRnd = "奇遇",
qtRecommended = "活动",

n1=	"云虚之厄",	d1=	"    ",	t1=	"    ",
n2=	"相助同门",	d2=	"    ",	t2=	"    ",
n3=	"大战魔神",	d3=	"    ",	t3=	"    ",
n4=	"清理余孽",	d4=	"    ",	t4=	"    ",
n5=	"无暇疗伤",	d5=	"    ",	t5=	"    ",
n6=	"百姓遭劫",	d6=	"    ",	t6=	"    ",
n7=	"拦路妖魔",	d7=	"    ",	t7=	"    ",
n8=	"妖魔巢穴",	d8=	"    ",	t8=	"    ",
n9=	"探明虚实",	d9=	"    ",	t9=	"    ",
n10=	"斩杀魔龙",	d10=	"    ",	t10=	"    ",
n11=	"囚笼所囚",	d11=	"    ",	t11=	"    ",
n12=	"新的伙伴",	d12=	"    ",	t12=	"    ",
n13=	"余孽踪迹",	d13=	"    ",	t13=	"    ",
n14=	"协助师兄",	d14=	"    ",	t14=	"    ",
n15=	"查看机甲",	d15=	"    ",	t15=	"    ",
n16=	"继续往前",	d16=	"    ",	t16=	"    ",
n17=	"魔化傀儡",	d17=	"    ",	t17=	"    ",
n20=	"奉命下山",	d20=	"    ",	t20=	"    ",
n21=	"往望月岭",	d21=	"    ",	t21=	"    ",
n30=	"路见不平（1）",	d30=	"  ",	t30=	"  ",
n31=	"路见不平（2）",	d31=	"  ",	t31=	"  ",
n32=	"路见不平（3）",	d32=	"  ",	t32=	"  ",
n33=	"路见不平（4）",	d33=	"  ",	t33=	"  ",
n36=	"出师未捷",	d36=	"  ",	t36=	"  ",
n37=	"误摘草药",	d37=	"  ",	t37=	"  ",
n38=	"美女搭救",	d38=	"  ",	t38=	"  ",
n40=	"野兽也疯狂（1）",	d40=	"  ",	t40=	"  ",
n41=	"野兽也疯狂（2）",	d41=	"  ",	t41=	"  ",
n42=	"诡异的石头（1）",	d42=	"    ",	t42=	"    ",
n43=	"诡异的石头（2）",	d43=	"    ",	t43=	"    ",
n44=	"诡异的石头（3）",	d44=	"    ",	t44=	"    ",
n45=	"诡异的石头（4）",	d45=	"    ",	t45=	"    ",
n46=	"诡异的石头（5）",	d46=	"    ",	t46=	"    ",
n47=	"诡异的石头（6）",	d47=	"    ",	t47=	"    ",
n48=	"诡异的石头（7）",	d48=	"    ",	t48=	"    ",
n49=	"诡异的石头（8）",	d49=	"    ",	t49=	"    ",
n50=	"诡异的石头（9）",	d50=	"    ",	t50=	"    ",
n51=	"诡异的石头（10）",	d51=	"    ",	t51=	"    ",
n53=	"诡异的石头（11）",	d53=	"    ",	t53=	"    ",
n54=	"阴影终现（1）",	d54=	"    ",	t54=	"    ",
n55=	"阴影终现（2）",	d55=	"    ",	t55=	"    ",
n56=	"阴影终现（3）",	d56=	"    ",	t56=	"    ",
n57=	"阴影终现（4）",	d57=	"    ",	t57=	"    ",
n58=	"离去（1）",	d58=	"    ",	t58=	"    ",
n59=	"离去（2）",	d59=	"    ",	t59=	"    ",
n60=	"离去（3）",	d60=	"    ",	t60=	"    ",
n61=	"离去（4）",	d61=	"    ",	t61=	"    ",
n62=	"英雄归来",	d62=	"    ",	t62=	"    ",
n63=	"二人去向",	d63=	"    ",	t63=	"    ",
n64=	"灵狐仙子",	d64=	"    ",	t64=	"    ",
n65=	"近在咫尺",	d65=	"    ",	t65=	"    ",
n66=	"追踪秘术",	d66=	"    ",	t66=	"    ",
n67=	"远古宗门",	d67=	"    ",	t67=	"    ",
n74=	"阴煞险地",	d74=	"    ",	t74=	"    ",
n75=	"顺风车",	d75=	"    ",	t75=	"    ",
n76=	"冰封之地",	d76=	"    ",	t76=	"    ",
n77=	"落魄之人（1）",	d77=	"    ",	t77=	"    ",
n79=	"落魄之人（2）",	d79=	"    ",	t79=	"    ",
n80=	"落魄之人（3）",	d80=	"    ",	t80=	"    ",
n81=	"落魄之人（4）",	d81=	"    ",	t81=	"    ",
n82=	"落魄之人（5）",	d82=	"    ",	t82=	"    ",
n84=	"妙计（1）",	d84=	"    ",	t84=	"    ",
n85=	"妙计（2）",	d85=	"    ",	t85=	"    ",
n88=	"妙计（3）",	d88=	"    ",	t88=	"    ",
n89=	"妙计（4）",	d89=	"    ",	t89=	"    ",
n91=	"妙计（5）",	d91=	"    ",	t91=	"    ",
n92=	"隐忧（1）",	d92=	"    ",	t92=	"    ",
n94=	"隐忧（2）",	d94=	"    ",	t94=	"    ",
n96=	"隐忧（3）",	d96=	"    ",	t96=	"    ",
n97=	"隐忧（4）",	d97=	"    ",	t97=	"    ",
n99=	"中计（1）",	d99=	"    ",	t99=	"    ",
n100=	"中计（2）",	d100=	"    ",	t100=	"    ",
n101=	"中计（3）",	d101=	"    ",	t101=	"    ",
n102=	"追击（1）",	d102=	"    ",	t102=	"    ",
n103=	"追击（2）",	d103=	"    ",	t103=	"    ",
n104=	"追击（3）",	d104=	"    ",	t104=	"    ",
n106=	"勇闯魔窟（1）",	d106=	"      ",	t106=	"      ",
n107=	"勇闯魔窟（2）",	d107=	"    ",	t107=	"    ",
n108=	"勇闯魔窟（3）",	d108=	"    ",	t108=	"    ",
n109=	"勇闯魔窟（4）",	d109=	"    ",	t109=	"    ",
n113=	"勇闯魔窟（5）",	d113=	"    ",	t113=	"    ",
n110=	"勇闯魔窟（6）",	d110=	"    ",	t110=	"    ",
n111=	"勇闯魔窟（7）",	d111=	"    ",	t111=	"    ",
n112=	"勇闯魔窟（8）",	d112=	"    ",	t112=	"    ",
n115=	"静候佳音",	d115=	"    ",	t115=	"    ",
n116=	"卷土重来（1）",	d116=	"    ",	t116=	"    ",
n117=	"卷土重来（2）",	d117=	"    ",	t117=	"    ",
n118=	"卷土重来（3）",	d118=	"    ",	t118=	"    ",
n119=	"卷土重来（4）",	d119=	"    ",	t119=	"    ",
n120=	"卷土重来（5）",	d120=	"    ",	t120=	"    ",
n121=	"卷土重来（6）",	d121=	"    ",	t121=	"    ",
n122=	"兵分两路（1）",	d122=	"    ",	t122=	"    ",
n123=	"兵分两路（2）",	d123=	"    ",	t123=	"    ",
n124=	"兵分两路（3）",	d124=	"    ",	t124=	"    ",
n125=	"陷阱（1）",	d125=	"    ",	t125=	"    ",
n126=	"陷阱（2）",	d126=	"    ",	t126=	"    ",
n127=	"陷阱（3）",	d127=	"    ",	t127=	"    ",
n128=	"陷阱（4）",	d128=	"    ",	t128=	"    ",
n129=	"陷阱（5）",	d129=	"    ",	t129=	"    ",
n130=	"陷阱（6）",	d130=	"    ",	t130=	"    ",
n131=	"陷阱（7）",	d131=	"    ",	t131=	"    ",
n132=	"重返逍遥城",	d132=	"    ",	t132=	"    ",
n133=	"意欲何为（1）",	d133=	"    ",	t133=	"    ",
n134=	"意欲何为（2）",	d134=	"    ",	t134=	"    ",
n135=	"意欲何为（3）",	d135=	"    ",	t135=	"    ",
n136=	"意欲何为（4）",	d136=	"    ",	t136=	"    ",
n137=	"圣血珠（1）",	d137=	"    ",	t137=	"    ",
n138=	"圣血珠（2）",	d138=	"    ",	t138=	"    ",
n139=	"圣血珠（3）",	d139=	"    ",	t139=	"    ",
n140=	"圣血珠（4）",	d140=	"    ",	t140=	"    ",
n141=	"黑锅（1）",	d141=	"    ",	t141=	"    ",
n142=	"黑锅（2）",	d142=	"    ",	t142=	"    ",
n143=	"黑锅（3）",	d143=	"    ",	t143=	"    ",
n144=	"黑锅（4）",	d144=	"    ",	t144=	"    ",
n145=	"黑锅（5）",	d145=	"    ",	t145=	"    ",
n146=	"黑锅（6）",	d146=	"    ",	t146=	"    ",
n147=	"黑锅（7）",	d147=	"    ",	t147=	"    ",
n148=	"沧海情史（1）",	d148=	"    ",	t148=	"    ",
n149=	"沧海情史（2）",	d149=	"    ",	t149=	"    ",
n150=	"沧海情史（3）",	d150=	"    ",	t150=	"    ",
n151=	"沧海情史（4）",	d151=	"    ",	t151=	"    ",
n152=	"沧海情史（5）",	d152=	"    ",	t152=	"    ",
n153=	"沧海情史（6）",	d153=	"    ",	t153=	"    ",
n154=	"沧海情史（7）",	d154=	"    ",	t154=	"    ",
n155=	"定情之物（1）",	d155=	"    ",	t155=	"    ",
n156=	"定情之物（2）",	d156=	"    ",	t156=	"    ",
n157=	"定情之物（3）",	d157=	"    ",	t157=	"    ",
n158=	"定情之物（4）",	d158=	"    ",	t158=	"    ",
n159=	"定情之物（5）",	d159=	"    ",	t159=	"    ",
n160=	"事变（1）",	d160=	"    ",	t160=	"    ",
n161=	"事变（2）",	d161=	"    ",	t161=	"    ",
n162=	"事变（3）",	d162=	"    ",	t162=	"    ",
n163=	"事变（4）",	d163=	"    ",	t163=	"    ",
n164=	"事变（5）",	d164=	"    ",	t164=	"    ",
n165=	"事变（6）",	d165=	"    ",	t165=	"    ",
n166=	"事变（7）",	d166=	"    ",	t166=	"    ",
n167=	"事变（8）",	d167=	"    ",	t167=	"    ",
n168=	"公主失踪（1）",	d168=	"    ",	t168=	"    ",
n169=	"公主失踪（2）",	d169=	"    ",	t169=	"    ",
n170=	"公主失踪（3）",	d170=	"    ",	t170=	"    ",
n171=	"公主失踪（4）",	d171=	"    ",	t171=	"    ",
n172=	"公主失踪（5）",	d172=	"    ",	t172=	"    ",
n173=	"公主失踪（6）",	d173=	"    ",	t173=	"    ",
n174=	"公主失踪（7）",	d174=	"    ",	t174=	"    ",
n175=	"公主失踪（8）",	d175=	"    ",	t175=	"    ",
n176=	"寻找公主（1）",	d176=	"    ",	t176=	"    ",
n177=	"寻找公主（2）",	d177=	"    ",	t177=	"    ",
n178=	"寻找公主（3）",	d178=	"    ",	t178=	"    ",
n179=	"寻找公主（4）",	d179=	"    ",	t179=	"    ",
n180=	"寻找公主（5）",	d180=	"    ",	t180=	"    ",
n181=	"寻找公主（6）",	d181=	"    ",	t181=	"    ",
n182=	"假鲛人王（1）",	d182=	"    ",	t182=	"    ",
n183=	"假鲛人王（2）",	d183=	"    ",	t183=	"    ",
n184=	"假鲛人王（3）",	d184=	"    ",	t184=	"    ",
n185=	"假鲛人王（4）",	d185=	"    ",	t185=	"    ",
n186=	"假鲛人王（5）",	d186=	"    ",	t186=	"    ",
n187=	"假鲛人王（6）",	d187=	"    ",	t187=	"    ",
n188=	"假鲛人王（7）",	d188=	"    ",	t188=	"    ",
n189=	"假鲛人王（8）",	d189=	"    ",	t189=	"    ",
n190=	"圣物（1）",	d190=	"    ",	t190=	"    ",
n191=	"意在圣物（1）",	d191=	"    ",	t191=	"    ",
n192=	"意在圣物（2）",	d192=	"    ",	t192=	"    ",
n193=	"意在圣物（3）",	d193=	"    ",	t193=	"    ",
n194=	"意在圣物（4）",	d194=	"    ",	t194=	"    ",
n195=	"共赴荒武原",	d195=	"    ",	t195=	"    ",
n196=	"荒武之乱（1）",	d196=	"    ",	t196=	"    ",
n197=	"荒武之乱（2）",	d197=	"    ",	t197=	"    ",
n198=	"荒武之乱（3）",	d198=	"    ",	t198=	"    ",
n199=	"荒武之乱（4）",	d199=	"    ",	t199=	"    ",
n200=	"荒武之乱（5）",	d200=	"    ",	t200=	"    ",
n201=	"荒武之乱（6）",	d201=	"    ",	t201=	"    ",
n202=	"荒武之乱（7）",	d202=	"    ",	t202=	"    ",
n203=	"狂暴之源（1）",	d203=	"    ",	t203=	"    ",
n204=	"狂暴之源（2）",	d204=	"    ",	t204=	"    ",
n205=	"狂暴之源（3）",	d205=	"    ",	t205=	"    ",
n206=	"狂暴之源（4）",	d206=	"    ",	t206=	"    ",
n207=	"有何良策（1）",	d207=	"    ",	t207=	"    ",
n208=	"有何良策（2）",	d208=	"    ",	t208=	"    ",
n209=	"有何良策（3）",	d209=	"    ",	t209=	"    ",
n210=	"有何良策（4）",	d210=	"    ",	t210=	"    ",
n211=	"有何良策（5）",	d211=	"    ",	t211=	"    ",
n212=	"有何良策（6）",	d212=	"    ",	t212=	"    ",
n213=	"有何良策（7）",	d213=	"    ",	t213=	"    ",
n214=	"修复法阵（1）",	d214=	"    ",	t214=	"    ",
n215=	"修复法阵（2）",	d215=	"    ",	t215=	"    ",
n216=	"修复法阵（3）",	d216=	"    ",	t216=	"    ",
n217=	"修复法阵（4）",	d217=	"    ",	t217=	"    ",
n218=	"修复法阵（5）",	d218=	"    ",	t218=	"    ",
n219=	"失踪之谜（1）",	d219=	"    ",	t219=	"    ",
n220=	"失踪之谜（2）",	d220=	"    ",	t220=	"    ",
n221=	"失踪之谜（3）",	d221=	"    ",	t221=	"    ",
n222=	"失踪之谜（4）",	d222=	"    ",	t222=	"    ",
n223=	"失踪之谜（5）",	d223=	"    ",	t223=	"    ",
n224=	"失踪之谜（6）",	d224=	"    ",	t224=	"    ",
n225=	"离间之计（1）",	d225=	"    ",	t225=	"    ",
n226=	"离间之计（2）",	d226=	"    ",	t226=	"    ",
